SampleNumber,Lead_ppb,Copper_ppb,Prop_Zip,SL_to_Meter,SampleLocation
LG08305,16,90,48506,Lead Public Side,KITCHEN
LG17422,16,0,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG30043,16,0,48507,Lead,KITCHEN
LG30152,16,260,48503,Lead Public Side,KITCHEN
LG31105,16,0,48504,Lead,KITCHEN
LG35084,16,0,48504,Lead,
LG47720,16,0,48503,Lead,
LG07518,17,60,48506,Lead Public Side,KITCHEN
LG17657,17,70,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG19777,17,0,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG23852,17,0,48505,Lead Public Side Galvanized Private Side,BATHROOM
LG27975,17,180,48503,Lead,KITCHEN
LG29598,17,140,48504,Lead,BATHROOM
LG35126,17,370,48503,Lead Public Side Galvanized Private Side,
LG45436,17,180,48503,Lead,KITCHEN
LG54474,17,250,48503,Lead,KITCHEN
LG30461,18,0,48503,Lead Public Side,KITCHEN
LG45404,18,360,48503,Copper,KITCHEN
LG47436,18,0,48507,Lead,KITCHEN
LG02342,19,100,48503,Copper,KITCHEN
LG02718,19,70,48503,Lead Public Side,BATHROOM
LG17569,19,120,48503,Lead,KITCHEN
LG29625,19,160,48503,Lead,KITCHEN
LG24351,20,0,48507,Lead,KITCHEN
LG29649,20,110,48503,Lead,
LG36177,20,80,48503,Lead,
LG34185,21,0,48507,Lead,KITCHEN
LG35624,21,0,48507,Lead,KITCHEN
LG54450,21,0,48507,Lead,KITCHEN
LG54462,21,0,48507,Lead,
LG20025,22,240,48504,Lead,BATHROOM
LG20896,22,60,48503,Lead,KITCHEN
LG29745,22,150,48504,Lead,KITCHEN
LG54464,22,110,48507,Lead,KITCHEN
LG54479,22,110,48503,Lead,BATHROOM
LG54476,23,0,48503,Lead,KITCHEN
LG36399,24,90,48504,Lead Public Side,
LG54840,24,140,48503,Copper,BATHROOM
LG09929,25,70,48504,Lead Public Side,KITCHEN
LG17324,25,70,48504,Lead,KITCHEN
LG17410,25,0,48503,Lead,KITCHEN
LG10569,26,0,48507,Lead,KITCHEN
LG04785,27,0,48503,Lead,BATHROOM
LG24394,27,170,48503,Lead,BATHROOM
LG46244,27,160,48503,Lead,KITCHEN
LG52237,27,0,48503,Lead,KITCHEN
LG14861,28,200,48507,Copper,KITCHEN
LG19599,29,150,48504,Lead Public Side,KITCHEN
LG47438,29,160,48507,Copper,KITCHEN
LG23556,30,180,48504,Lead,BATHROOM
LG30453,30,0,48503,Lead,KITCHEN
LG35809,30,0,48507,Lead,
LG01234,32,160,48503,Lead Public Side,BATHROOM
LG20990,32,70,48503,Lead,KITCHEN
LG24270,34,80,48506,Lead Public Side Galvanized Private Side,KITCHEN
LG17355,37,170,48504,Lead Public Side,KITCHEN
LG24380,37,0,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG35718,38,0,48507,Lead,KITCHEN
LG47427,38,110,48503,Lead,
LG28086,39,0,48507,Lead,KITCHEN
LG23558,40,0,48504,Lead,KITCHEN
LG13604,41,70,48503,Lead Public Side Galvanized and Lead Private Side,KITCHEN
LG43217,42,400,48507,Copper,KITCHEN
LG20792,44,200,48503,Lead,KITCHEN
LG13733,50,490,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG20206,55,0,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG21428,63,0,48503,Lead,KITCHEN
LG00927,64,0,48504,Lead,BATHROOM
LG25390,68,190,48503,Lead Public Side,BATHROOM
LG13735,81,130,48506,Lead Public Side Galvanized Private Side,KITCHEN
LG13725,82,0,48503,Lead Public Side Galvanized Private Side,KITCHEN
LG36961,92,0,48504,Lead,BATHROOM
LG13718,96,370,48503,Lead,KITCHEN
LG55247,100,50,48507,Lead,KITCHEN
LG23741,121,220,48504,Lead,
LG42184,122,990,48507,Lead,
LG02670,152,280,48504,Lead Public Side,BATHROOM
LG34940,154,0,48504,Lead,BATHROOM
LG47432,177,1670,48507,Lead,KITCHEN
LG38282,235,1480,48507,Lead,KITCHEN
LG05545,254,2390,48503,Lead,BATHROOM
LG23794,265,1830,48503,Lead,KITCHEN
LG54449,283,2560,48507,Lead,KITCHEN
LG29797,421,4970,48503,Lead,KITCHEN
LG24751,489,410,48504,Lead,KITCHEN
LG34958,1111,280,48504,Lead,KITCHEN
LG29597,1644,230,48504,Lead,BATHROOM
LG29472,3343,240,48504,Lead,BATHROOM
