family,species,abm_g
Sciuridae,bicolor,1609.08
Sciuridae,indica,1060
Sciuridae,macroura,1326.24
Sciuridae,macrotis,1353.27
Sciuridae,laticaudatus,230.3
Sciuridae,leptodactylus,-999
Sciuridae,adocetus,155.52
Sciuridae,alashanicus,-999
Sciuridae,annulatus,499.99
Sciuridae,armatus,306.48
Sciuridae,atricapillus,550.99
Sciuridae,beecheyi,597.82
Sciuridae,beldingi,272.53
Sciuridae,brevicauda,-999
Sciuridae,brunneus,300
Sciuridae,canus,-999
Sciuridae,citellus,395.97
Sciuridae,columbianus,470.94
Sciuridae,dauricus,-999
Sciuridae,elegans,324.45
Sciuridae,pusillus,34.91
Sciuridae,davidianus,-999
Sciuridae,forresti,-999
Sciuridae,aberti,622.95
Sciuridae,aestuans,177.34
Sciuridae,alleni,465.14
Sciuridae,anomalus,-999
Sciuridae,arizonensis,646.99
Sciuridae,aureogaster,455.57
Sciuridae,carolinensis,545.4
Sciuridae,colliaei,498
Sciuridae,deppei,249.5
Sciuridae,flammifer,-999
Sciuridae,gilvigularis,803
Sciuridae,granatensis,318.44
Sciuridae,griseus,703.85
Sciuridae,ignitus,190
Sciuridae,igniventris,700
Sciuridae,lis,264.3
Sciuridae,nayaritensis,697
Sciuridae,niger,-999
Sciuridae,oculatus,649.98
Sciuridae,pucheranii,803
Sciuridae,pyrrhinus,482
Sciuridae,richmondi,237.51
Sciuridae,sanborni,136
Sciuridae,spadiceus,403.32
Sciuridae,stramineus,433.3
Sciuridae,variegatoides,485
Sciuridae,vulgaris,333
Sciuridae,yucatanensis,225
Sciuridae,melanopterus,-999
Sciuridae,tephromelas,1187
Sciuridae,thomasi,1430.19
Sciuridae,erythrogenys,-999
Sciuridae,franklinii,457.64
Sciuridae,fulvus,778.38
Sciuridae,lateralis,175.1
Sciuridae,madrensis,207.12
Sciuridae,major,-999
Sciuridae,mexicanus,177.49
Sciuridae,mohavensis,213.18
Sciuridae,mollis,165.4
Sciuridae,musicus,-999
Sciuridae,pallidicauda,-999
Sciuridae,parryii,747.09
Sciuridae,perotensis,140
Sciuridae,pygmaeus,173.46
Sciuridae,ralli,-999
Sciuridae,relictus,599.99
Sciuridae,richardsonii,325.1
Sciuridae,saturatus,-999
Sciuridae,spilosoma,106.64
Sciuridae,suslicus,252
Sciuridae,tereticaudus,147.57
Sciuridae,townsendii,207.29
Sciuridae,tridecemlineatus,174.91
Sciuridae,undulatus,742.91
Sciuridae,variegatus,714.58
Sciuridae,washingtoni,215.09
Sciuridae,xanthoprymnus,-999
Sciuridae,brookei,114.05
Sciuridae,davensis,-999
Sciuridae,fraterculus,-999
Sciuridae,hippurus,357.79
Sciuridae,hoogstraali,-999
Sciuridae,jentinki,-999
Sciuridae,juvencus,-999
Sciuridae,lowii,84.99
Sciuridae,mindanensis,-999
Sciuridae,moellendorffi,-999
Sciuridae,philippinensis,-999
Sciuridae,rabori,-999
Sciuridae,samarensis,225
Sciuridae,steerii,-999
Sciuridae,tenuis,74.87
Sciuridae,brochus,-999
Sciuridae,alpinus,36.54
Sciuridae,amoenus,50.63
Sciuridae,bulleri,100
Sciuridae,canipes,70.2
Sciuridae,cinereicollis,61.59
Sciuridae,dorsalis,63.66
Sciuridae,durangae,84.99
Sciuridae,merriami,74.77
Sciuridae,minimus,42.87
Sciuridae,obscurus,72.99
Sciuridae,ochrogenys,91.69
Sciuridae,palmeri,60.74
Sciuridae,panamintinus,51.73
Sciuridae,quadrimaculatus,83.62
Sciuridae,quadrivittatus,57.49
Sciuridae,ruficaudus,60.06
Sciuridae,rufus,53.6
Sciuridae,senex,89.35
Sciuridae,sibiricus,94.16
Sciuridae,siskiyou,75
Sciuridae,sonomae,75
Sciuridae,speciosus,60.83
Sciuridae,striatus,-999
Sciuridae,townsendii,79.12
Sciuridae,umbrinus,51.75
Sciuridae,douglasii,225
Sciuridae,hudsonicus,200.24
Sciuridae,mearnsi,-999
Sciuridae,maritimus,66.77
Sciuridae,mcclellandii,45.84
Sciuridae,rodolphii,-999
Sciuridae,swinhoei,-999
Sciuridae,harrisii,126.57
Sciuridae,insularis,-999
Sciuridae,interpres,112.53
Sciuridae,leucurus,103.92
Sciuridae,nelsoni,160.42
Sciuridae,xanthipes,-999
Sciuridae,erythropus,602.23
Sciuridae,inauris,572.6
Sciuridae,princeps,624.9
Sciuridae,rutilus,316.96
Atelidae,belzebuth,6692.42
Atelidae,chamek,7053.92
Atelidae,fusciceps,9067.94
Atelidae,geoffroyi,7582.4
Atelidae,hybridus,-999
Atelidae,marginatus,6229.28
Atelidae,paniscus,8697.25
Atelidae,arachnoides,10537.31
Atelidae,hypoxanthus,-999
Atelidae,cana,-999
Atelidae,lagotricha,6263.69
Atelidae,lugens,-999
Atelidae,poeppigii,-999
Atelidae,flavicauda,8229.12
Atelidae,belzebul,6157.91
Atelidae,caraya,5576.96
Atelidae,coibensis,-999
Atelidae,guariba,5188.33
Atelidae,macconnelli,-999
Atelidae,nigerrima,-999
Atelidae,palliata,6576.99
Atelidae,pigra,7172.06
Atelidae,sara,6611.04
Atelidae,seniculus,6398.31
Vespertilionidae,altarium,11
Vespertilionidae,anjouanensis,-999
Vespertilionidae,annamiticus,-999
Vespertilionidae,annectans,9.75
Vespertilionidae,atacamensis,-999
Vespertilionidae,ater,-999
Vespertilionidae,auriculus,38.04
Vespertilionidae,australis,-999
Vespertilionidae,austroriparius,7.35
Vespertilionidae,bechsteinii,9.47
Vespertilionidae,blythii,23.82
Vespertilionidae,bocagii,7.93
Vespertilionidae,bombinus,-999
Vespertilionidae,brandtii,5.3
